index,name
1,佛說阿彌陀經
2,稱讚淨土佛攝受經
3,佛說觀無量壽佛經
4,大誓至菩薩念佛圓通章
5,普賢菩薩行願品
6,佛說無量壽經
7,佛說無量清淨平等覺經
8,佛說阿彌陀三耶三佛薩樓佛檀過度人道經
9,大寶積經無量壽如來會
10,佛說大乘無量壽莊嚴經
11,阿彌陀經要解
